取	取	取	qu3	qǔ	to take; get; choose	0
設	?	?	?	?	?	0
始	?	?	?	?	?	0
版	?	?	?	?	?	0
双	雙	雙	shuang1	shuāng	two; double; (mw for pairs)	0
歷	?	?	?	?	?	0
越	越	越	yue4	yuè	even more; the more; exceed	0
史	?	?	?	?	?	0
商	?	?	?	?	?	0
仟	?	?	?	?	?	0
片	片	片	pian4, pian1	piàn, piān	(mw for pieces of things); a slice; a flake (Kangxi radical 91) | film; photo	0
容	?	?	?	?	?	0
研	?	?	?	?	?	0
像	像	像	xiang4	xiàng	be like; resemble; appearance; appear	0
找	找	找	zhao3	zhǎo	try to find; look for; seek; to give change	0
友	?	?	?	?	?	0
孩	?	?	?	?	?	0
站	站	站	zhan4	zhàn	stand; a station; be on one's feet; service center	0
廣	?	?	?	?	?	0
改	?	?	?	?	?	0
議	?	?	?	?	?	0
形	?	?	?	?	?	0
委	?	?	?	?	?	0
早	?	?	?	?	?	0
房	?	?	?	?	?	0
音	?	?	?	?	?	0
火	火	火	huo3	huǒ	fire (Kangxi radical 86)	0
際	?	?	?	?	?	0
则	則	則	ze2	zé	standard; regulation; however; in that case	0
首	首	首	shou3	shǒu	head; chief; first; (mw for poems and songs) (Kangxi radical 185)	0
單	?	?	?	?	?	0
據	?	?	?	?	?	0
導	?	?	?	?	?	0
影	?	?	?	?	?	0
失	?	?	?	?	?	0
拿	拿	拿	na2	ná	carry in your hand; seize; to catch	0
網	?	?	?	?	?	0
香	香	香	xiang1	xiāng	fragrant; savory (Kangxi radical 186)	0
似	?	?	?	?	?	0
斯	?	?	?	?	?	0
專	?	?	?	?	?	0
石	?	?	?	?	?	0
若	?	?	?	?	?	0
兵	?	?	?	?	?	0
弟	?	?	?	?	?	0
谁	誰	誰	shei2	shéi	who	0
校	?	?	?	?	?	0
读	讀	讀	du2	dú	to read; to study	0
志	?	?	?	?	?	0
飛	?	?	?	?	?	0
觀	?	?	?	?	?	0
爭	?	?	?	?	?	0
究	?	?	?	?	?	0
包	包	包	bao1	bāo	to cover; to wrap; to hold; include; (mw for containers, packages, etc.)	0
组	組	組	zu3	zǔ	compose; team up; group	0
造	?	?	?	?	?	0
落	?	?	?	?	?	0
視	?	?	?	?	?	0
濟	?	?	?	?	?	0
喜	?	?	?	?	?	0
离	離	離	li2	lí	leave; depart; go away; apart from	0
雖	?	?	?	?	?	0
坐	坐	坐	zuo4	zuò	sit; take a seat	0
集	?	?	?	?	?	0
編	?	?	?	?	?	0
寶	?	?	?	?	?	0
谈	談	談	tan2	tán	to talk; to chat; discuss	0
府	?	?	?	?	?	0
拉	拉	拉	la1	lā	to pull; to play (string instruments); to drag	0
黑	黑	黑	hei1	hēi	black; dark (Kangxi radical 203); Heilongjiang province (abbreviation)	0
且	?	?	?	?	?	0
隨	?	?	?	?	?	0
格	?	?	?	?	?	0
盡	?	?	?	?	?	0
剑	劍	劍	jian4	jiàn	sword	0
讲	講	講	jiang3	jiǎng	to talk; to lecture; to explain; a speech	0
布	布	布	bu4	bù	cloth; announce; to spread	0
杀	殺	殺	sha1	shā	to kill; to murder	0
微	?	?	?	?	?	0
怕	?	?	?	?	?	0
母	?	?	?	?	?	0
調	?	?	?	?	?	0
局	?	?	?	?	?	0
根	根	根	gen1	gēn	root; base; (mw for long, slender objects)	0
曾	?	?	?	?	?	0
准	?	?	?	?	?	0
团	團	團	tuan2	tuán	round; ball; group; unite; dumpling; (mw for ball-like things)	0
段	段	段	duan4	duàn	paragraph; segment; section	0
終	?	?	?	?	?	0
樂	?	?	?	?	?	0
切	切	切	qie1, qie4	qiē, qiè	to cut; to chop | correspond to; absolutely; ardently	0
級	?	?	?	?	?	0
克	克	克	ke4	kè	gram; overcome; restrain	0
精	?	?	?	?	?	0
哪	哪	哪	na3	nǎ	which; how	0
官	官	官	guan1	guān	an official; organ; governmental	0
示	?	?	?	?	?	0
冲	沖	沖	chong1	chōng	to rush; to clash; to rinse; thoroughfare	0
竟	?	?	?	?	?	0
乎	?	?	?	?	?	0
男	男	男	nan2	nán	male	0
举	舉	舉	ju3	jǔ	lift; raise; cite	0
客	?	?	?	?	?	0
證	?	?	?	?	?	0
苦	苦	苦	ku3	kǔ	bitter; miserable	0
照	照	照	zhao4	zhào	to shine; illuminate; according to	0
注	?	?	?	?	?	0
費	?	?	?	?	?	0
足	?	?	?	?	?	0
爾	?	?	?	?	?	0
招	?	?	?	?	?	0
群	群	群	qun2	qún	crowd; group; (mw for groups, flocks, or swarms)	0
热	熱	熱	re4	rè	heat; hot; heat up	0
推	推	推	tui1	tuī	to push; to scrape; to decline; postpone; elect	0
晚	?	?	?	?	?	0
响	響	響	xiang3	xiǎng	make a sound; to ring; echo	0
称	稱	稱	cheng1	chēng	weigh; to call; be called	0
興	?	?	?	?	?	0
待	?	?	?	?	?	0
約	?	?	?	?	?	0
陽	?	?	?	?	?	0
哥	?	?	?	?	?	0
驚	?	?	?	?	?	0
吗	嗎	嗎	ma5	ma	(question particle for yes/no questions)	0
整	?	?	?	?	?	0
支	支	支	zhi1	zhī	branch; support; put up; (mw for long; narrow objects) (Kangxi radical 65)	0
古	?	?	?	?	?	0
漢	?	?	?	?	?	0
突	?	?	?	?	?	0
号	號	號	hao4	hào	number; day of a month; (mw for ordinal numbers)	0
絕	?	?	?	?	?	0
選	?	?	?	?	?	0
吧	吧	吧	ba5	ba	particle indicating polite suggestion; | onomatopoeia | bar (serving drinks, providing internet access, etc.)	0
參	?	?	?	?	?	0
刊	?	?	?	?	?	0
亞	?	?	?	?	?	0
復	?	?	?	?	?	0
傷	?	?	?	?	?	0
類	?	?	?	?	?	0
備	?	?	?	?	?	0
歡	?	?	?	?	?	0
另	?	?	?	?	?	0
港	?	?	?	?	?	0
勢	?	?	?	?	?	0
刻	刻	刻	ke4	kè	quarter (hour); (mw for short time intervals); carve; to cut	0
星	?	?	?	?	?	0
断	斷	斷	duan4	duàn	to break; decide; absolutely (usually negative)	0
陳	?	?	?	?	?	0
掌	?	?	?	?	?	0
農	?	?	?	?	?	0
夜	夜	夜	ye4	yè	night; darkness	0
般	?	?	?	?	?	0
唸	?	?	?	?	?	0
价	?	?	?	?	?	0
腦	?	?	?	?	?	0
規	?	?	?	?	?	0
底	底	底	di3	dǐ	bottom; background; base	0
故	?	?	?	?	?	0
省	省	省	sheng3	shěng	to save; economize; omit; province	0
媽	?	?	?	?	?	0
刚	剛	剛	gang1	gāng	just (indicating the immediate past); recently; firm	0
句	?	?	?	?	?	0
顯	?	?	?	?	?	0
消	?	?	?	?	?	0
衣	?	?	?	?	?	0
陸	?	?	?	?	?	0
器	?	?	?	?	?	0
確	?	?	?	?	?	0
破	破	破	po4	pò	broken; damaged; to split	0
具	?	?	?	?	?	0
居	?	?	?	?	?	0
批	批	批	pi1	pī	criticize; to comment; wholesale; (mw for batches, lots, etc.)	0
送	送	送	song4	sòng	deliver; to carry; to give; send	0
澤	?	?	?	?	?	0
緊	?	?	?	?	?	0
幫	?	?	?	?	?	0
線	?	?	?	?	?	0
存	存	存	cun2	cún	exist; to deposit; to store	0
願	?	?	?	?	?	0
奇	?	?	?	?	?	0
害	?	?	?	?	?	0
增	?	?	?	?	?	0
楊	?	?	?	?	?	0
料	?	?	?	?	?	0
州	州	州	zhou1	zhōu	province; sub-prefecture; (United States) state	0
节	節	節	jie2	jié	section; part; festival; moral integrity; save; (mw for class periods)	0
左	?	?	?	?	?	0
装	裝	裝	zhuang1	zhuāng	to load; dress up; pretend; clothing; to install	0
易	?	?	?	?	?	0
急	?	?	?	?	?	0
久	久	久	jiu3	jiǔ	long (time)	0
低	低	低	di1	dī	low; to lower (one's head); droop	0
岁	歲	歲	sui4	suì	years old	0
需	?	?	?	?	?	0
酒	?	?	?	?	?	0
河	?	?	?	?	?	0
初	?	?	?	?	?	0
游	?	?	?	?	?	0
嚴	?	?	?	?	?	0
鐵	?	?	?	?	?	0
族	?	?	?	?	?	0
除	除	除	chu2	chú	besides; except; remove; to divide (mathematics)	0
份	份	份	fen4	fèn	part; portion; (mw for documents, papers, jobs, etc.)	0
敢	敢	敢	gan3	gǎn	to dare	0
胡	?	?	?	?	?	0
血	血	血	xue4	xuè	blood (Kangxi radical 143)	0
企	?	?	?	?	?	0
仍	?	?	?	?	?	0
投	?	?	?	?	?	0
闻	聞	聞	wen2	wén	hear; to smell; news; reputation	0
斗	?	?	?	?	?	0
紀	?	?	?	?	?	0
脚	腳	腳	jiao3	jiǎo	foot (body part)	0
右	?	?	?	?	?	0
蘇	?	?	?	?	?	0
標	?	?	?	?	?	0
飯	?	?	?	?	?	0
云	雲	雲	yun2	yún	cloud; Yunnan province | say; speak	0
病	?	?	?	?	?	0
醫	?	?	?	?	?	0
阿	?	?	?	?	?	0
答	?	?	?	?	?	0
土	?	?	?	?	?	0
況	?	?	?	?	?	0
境	?	?	?	?	?	0
软	軟	軟	ruan3	ruǎn	soft	0
考	?	?	?	?	?	0
娘	?	?	?	?	?	0
村	?	?	?	?	?	0
刀	刀	刀	dao1	dāo	knife; blade (Kangxi radical 18)	0
擊	?	?	?	?	?	0
僅	?	?	?	?	?	0
查	?	?	?	?	?	0
引	?	?	?	?	?	0
朝	朝	朝	chao2	cháo	to face; towards; dynasty	0
育	?	?	?	?	?	0
續	?	?	?	?	?	0
獨	?	?	?	?	?	0
羅	?	?	?	?	?	0
买	買	買	mai3	mǎi	to buy	0
戶	?	?	?	?	?	0
護	?	?	?	?	?	0
喝	喝	喝	he1	hē	to drink; interjection expressing surprise	0
朋	?	?	?	?	?	0
供	?	?	?	?	?	0
責	?	?	?	?	?	0
项	項	項	xiang4	xiàng	nape (of the neck); sum (of money); mw item	0
背	背	背	bei1	bēi	carry on one's back; to bear	0
余	?	?	?	?	?	0
希	?	?	?	?	?	0
衛	?	?	?	?	?	0
列	?	?	?	?	?	0
圖	?	?	?	?	?	0
室	?	?	?	?	?	0
乱	亂	亂	luan4	luàn	disorder; confusion; arbitrarily	0
劉	?	?	?	?	?	0
爺	?	?	?	?	?	0
龙	龍	龍	long2	lóng	dragon (Kangxi radical 212)	0
咱	?	?	?	?	?	0
章	?	?	?	?	?	0
席	?	?	?	?	?	0
错	錯	錯	cuo4	cuò	mistake; error; blunder; miss an opportunity	0
兄	?	?	?	?	?	0
暗	暗	暗	an4	àn	dark; gloomy; hidden; secret	0
創	?	?	?	?	?	0
排	?	?	?	?	?	0
